
record_index,date,datetime,level,actual_component,actual_reason,actual_root_timestamp,metric_top1,metric_top3,trace_top1,combined_top1,combined_top3,pred_reason,pred_time,feat_trace_failure_rate,feat_trace_latency,feat_calls,feat_latency,feat_failure_rate,feat_redis_rejected,feat_redis_blocked,feat_redis_clients,feat_redis_ping,metric_names
0,2020-04-11,2020-04-11 00:05:00,pod,docker_003,CPU fault,1586534700,docker_002,"[""docker_002"", ""docker_004"", ""docker_007""]",os_021,docker_002,"[""docker_002"", ""os_021"", ""docker_003""]",CPU fault,2020-04-11 00:17:09,0.0,9.029391304347826,11467.0,0.8373378651878858,0.000697654137961079,0.0,0.0,49.044444444444444,1.0,container_cpu_used container_fgc container_fgct container_mem_used container_session_used container_thread_idle container_thread_running container_thread_total container_thread_used_pct
1,2020-04-11,2020-04-11 01:40:00,pod,docker_004,CPU fault,1586540400,docker_004,"[""docker_004"", ""docker_002"", ""docker_007""]",os_021,docker_004,"[""docker_004"", ""os_021"", ""docker_002""]",CPU fault,2020-04-11 01:42:57,0.0,8.733947768559768,14992.0,0.7080514741221207,0.00046691568836709774,0.0,0.0,49.233333333333334,1.0,container_cpu_used container_fgc container_fgct container_mem_used container_session_used container_thread_idle container_thread_running container_thread_total container_thread_used_pct
2,2020-04-11,2020-04-11 02:15:00,service,db_007,db connection limit,1586542500,db_001,"[""db_001"", ""db_005"", ""db_013""]",db_001,db_001,"[""db_001"", ""db_005"", ""db_013""]",network delay,2020-04-11 02:00:24,0.0,8.7534981006876,16738.0,0.44579566853865543,0.13669494563269213,0.0,0.0,49.077777777777776,1.0,ACS AIOS AWS Asm_Free_Tb CPU_Used_Pct CPU_free_pct Call_Per_Sec DFParaWrite_Per_Sec DbTime Exec_Per_Sec Hang LFParaWrite_Per_Sec LFSync_Per_Sec Logic_Read_Per_Sec Login_Per_Sec MEM_Total MEM_Used MEM_Used_Pct MEM_real_util New_Tbs_Free_Gb New_Tbs_Used_Pct On_Off_State PGA_Used_Pct PGA_used_total Physical_Read_Per_Sec Proc_Used_Pct Proc_User_Used_Pct Redo_Per_Sec Row_Lock SctRead_Per_Sec SeqRead_Per_Sec Sess_Active Sess_Connect Sess_Used_Temp Sess_Used_Undo Session_pct TPS_Per_Sec Tbs_Free_Gb Tbs_Used_Pct TempTbs_Pct Total_Tbs_Size UndoTbs_Pct Used_Tbs_Size User_Commit tnsping_result_time
3,2020-04-11,2020-04-11 02:50:00,pod,docker_002,CPU fault,1586544600,docker_002,"[""docker_002"", ""docker_004"", ""docker_007""]",os_022,docker_002,"[""docker_002"", ""os_022"", ""docker_004""]",CPU fault,2020-04-11 02:53:22,0.0,8.934792794248324,12433.0,0.7525349955808094,0.000965173329043667,0.0,0.0,48.51111111111111,1.0,container_cpu_used container_fgc container_fgct container_mem_used container_session_used container_thread_idle container_thread_running container_thread_total container_thread_used_pct
4,2020-04-11,2020-04-11 04:40:00,pod,docker_008,CPU fault,1586551200,docker_002,"[""docker_002"", ""docker_004"", ""docker_007""]",os_022,docker_002,"[""docker_002"", ""os_022"", ""docker_001""]",CPU fault,2020-04-11 04:58:38,0.0,8.815945682224752,14727.0,0.625762999933183,0.0,0.0,0.0,48.65277777777778,1.0,container_cpu_used container_fgc container_fgct container_mem_used container_session_used container_thread_idle container_thread_running container_thread_total container_thread_used_pct
5,2020-04-11,2020-04-11 05:45:00,service,db_003,db close,1586555100,db_001,"[""db_001"", ""db_005"", ""db_009""]",db_001,db_001,"[""db_001"", ""db_005"", ""db_009""]",network delay,2020-04-11 05:32:24,0.010754043268220962,9.06249387383603,17138.0,0.4273245244485935,0.1813513828918194,0.0,0.0,48.96666666666667,1.0,ACS AIOS AWS Asm_Free_Tb CPU_Used_Pct CPU_free_pct Call_Per_Sec DFParaWrite_Per_Sec DbTime Exec_Per_Sec Hang LFParaWrite_Per_Sec LFSync_Per_Sec Logic_Read_Per_Sec Login_Per_Sec MEM_Total MEM_Used MEM_Used_Pct MEM_real_util New_Tbs_Free_Gb New_Tbs_Used_Pct On_Off_State PGA_Used_Pct PGA_used_total Physical_Read_Per_Sec Proc_Used_Pct Proc_User_Used_Pct Redo_Per_Sec Row_Lock SctRead_Per_Sec SeqRead_Per_Sec Sess_Active Sess_Connect Sess_Used_Temp Sess_Used_Undo Session_pct TPS_Per_Sec Tbs_Free_Gb Tbs_Used_Pct TempTbs_Pct UndoTbs_Pct User_Commit tnsping_result_time Total_Tbs_Size Used_Tbs_Size
6,2020-05-22,2020-05-22 00:07:00,service,db_003,db close,1590077220,db_004,"[""db_004"", ""db_005"", ""db_002""]",db_001,db_004,"[""db_004"", ""db_005"", ""db_002""]",network delay,2020-05-22 00:19:36,0.004095055560792199,28.747310983336998,12055.0,0.6866343343010475,0.14359187059311485,0.0,0.0,50.65555555555556,1.0,ACS AIOS AWS Asm_Free_Tb CPU_Used_Pct CPU_free_pct Call_Per_Sec DFParaWrite_Per_Sec DbTime Exec_Per_Sec Hang LFParaWrite_Per_Sec LFSync_Per_Sec Logic_Read_Per_Sec Login_Per_Sec MEM_Total MEM_Used MEM_Used_Pct MEM_real_util New_Tbs_Free_Gb New_Tbs_Used_Pct On_Off_State PGA_Used_Pct PGA_used_total Physical_Read_Per_Sec Proc_Used_Pct Proc_User_Used_Pct Redo_Per_Sec Row_Lock SctRead_Per_Sec SeqRead_Per_Sec Sess_Active Sess_Connect Sess_Used_Temp Sess_Used_Undo Session_pct TPS_Per_Sec Tbs_Free_Gb Tbs_Used_Pct TempTbs_Pct Total_Tbs_Size UndoTbs_Pct Used_Tbs_Size User_Commit tnsping_result_time SEQ_Used_Pct
7,2020-05-22,2020-05-22 00:48:00,pod,docker_001,CPU fault,1590079680,docker_003,"[""docker_003"", ""docker_004"", ""docker_002""]",os_022,docker_003,"[""docker_003"", ""docker_004"", ""os_022""]",CPU fault,2020-05-22 00:53:31,0.0,75.99548991613324,11816.0,1.274725668611407,0.0009309410968179055,0.0,0.0,49.68333333333333,1.0,container_cpu_used container_fgc container_fgct container_mem_used container_session_used container_thread_idle container_thread_running container_thread_total container_thread_used_pct
8,2020-05-22,2020-05-22 01:48:00,node,os_018,network delay,1590083280,os_011,"[""os_011"", ""os_021"", ""os_014""]",os_006,os_011,"[""os_011"", ""os_021"", ""os_014""]",CPU fault,2020-05-22 01:37:37,1.7010852924165616e-05,39.14397135372368,13241.0,1.1165979760175562,0.000377614983762542,0.0,0.0,49.97348484848485,1.0,Agent_ping Buffers_used CPU_idle_pct CPU_iowait_time CPU_system_time CPU_user_time CPU_util_pct Cache_used Disk_avgqu_sz Disk_await Disk_io_util Disk_rd_ios Disk_rd_kbs Disk_svctm Disk_wr_ios Disk_wr_kbs FS_max_avail FS_max_util FS_total_space FS_used_pct FS_used_space ICMP_ping Incoming_network_traffic Memory_available Memory_available_pct Memory_free Memory_used Memory_used_pct Num_of_processes Num_of_running_processes Outgoing_network_traffic Page_pi Page_po Processor_load_15_min Processor_load_1_min Processor_load_5_min Received_errors_packets Received_packets Received_queue Recv_total Send_total Sent_errors_packets Sent_packets Sent_queue Shared_memory Swap_used_pct System_block_queue_length System_wait_queue_length Zombie_Process ss_total Memory_total
9,2020-05-22,2020-05-22 02:18:00,pod,docker_005,CPU fault,1590085080,docker_003,"[""docker_003"", ""docker_005"", ""docker_004""]",os_022,docker_003,"[""docker_003"", ""os_022"", ""docker_005""]",CPU fault,2020-05-22 02:22:31,0.0,52.57213150005692,9113.0,3.6731760018159116,0.009217601229013495,0.0,0.0,50.327922077922075,1.0,container_cpu_used container_fgc container_fgct container_mem_used container_session_used container_thread_idle container_thread_running container_thread_total container_thread_used_pct
